nombre;descripcion;precio;imagen;subcategoria
tomate frito hacendado;3 mini bricks x 210 g;0,8;https://prod-mercadona.imgix.net/images/3192035041a11274145b3a12c81a1a3c.jpg?fit=crop&h=300&w=300;otras salsas
tomate frito hacendado;tarro 560 g;0,68;https://prod-mercadona.imgix.net/images/370f96cad119a12db774b0798b1e23da.jpg?fit=crop&h=300&w=300;otras salsas
tomate frito receta artesana hacendado;tarro 560 g;1,7;https://prod-mercadona.imgix.net/images/2f2bcd657cf6245514f81dac531210dc.jpg?fit=crop&h=300&w=300;otras salsas
tomate frito receta artesana hacendado;tarro 300 g;1,28;https://prod-mercadona.imgix.net/images/3f52f24676d0f8af81030f17b5dc5194.jpg?fit=crop&h=300&w=300;otras salsas
tomate frito hida;bote 400 g;1,18;https://prod-mercadona.imgix.net/images/8cfb8de031d7125d927bb101881f49b9.jpg?fit=crop&h=300&w=300;otras salsas
tomate frito estilo casero hacendado;brick 380 g;0,93;https://prod-mercadona.imgix.net/images/278bbd83575cf2609f17b54cedfc26e2.jpg?fit=crop&h=300&w=300;otras salsas
tomate frito hacendado con aceite de oliva;3 mini bricks x 210 g;0,85;https://prod-mercadona.imgix.net/images/81da9e857e41bdca920074a53a863427.jpg?fit=crop&h=300&w=300;otras salsas
tomate frito sin azúcares añadidos hacendado;tarro 560 g;0,94;https://prod-mercadona.imgix.net/images/a7405cb7b6cb442d33c7e0b846118ed8.jpg?fit=crop&h=300&w=300;otras salsas
tomate frito con cebolla hacendado;brick 380 g;1,05;https://prod-mercadona.imgix.net/images/1fc66195d1cc0f20c729561c54f5c4b1.jpg?fit=crop&h=300&w=300;otras salsas
salsa barbacoa hacendado;bote 350 g;1;https://prod-mercadona.imgix.net/images/aeef9cc21a2ae83811f36f0db5d6e95c.jpg?fit=crop&h=300&w=300;otras salsas
salsa pimienta verde hacendado;sobre 50 g;0,75;https://prod-mercadona.imgix.net/images/66986e35fb04401c696133d645f401d9.jpg?fit=crop&h=300&w=300;otras salsas
salsa burger hacendado;bote 250 ml;1,25;https://prod-mercadona.imgix.net/images/3846e7686991bc70251b8fa622359c4c.jpg?fit=crop&h=300&w=300;otras salsas
salsa barbacoa dulce y picante hacendado;botella 250 ml;1,25;https://prod-mercadona.imgix.net/images/cb94f9f36a793162b6311a6e3e9430db.jpg?fit=crop&h=300&w=300;otras salsas
salsa estilo argentino hacendado;tarro 285 g;1,2;https://prod-mercadona.imgix.net/images/fce49fc854dda168c45ea1cfe57ecc6a.jpg?fit=crop&h=300&w=300;otras salsas
salsa chimichurri hacendado;botella 250 ml;1,25;https://prod-mercadona.imgix.net/images/2a144a1af4122616b86460e4b7ca14c5.jpg?fit=crop&h=300&w=300;otras salsas
salsa piri piri hacendado;botella 195 ml;1;https://prod-mercadona.imgix.net/images/218184ffcde1782ab275ece5c54142d7.jpg?fit=crop&h=300&w=300;otras salsas
salsa fresca roquefort hacendado;paquete 130 g;1,3;https://prod-mercadona.imgix.net/images/4d6affb22a7a2ca708a13c32560e2243.jpg?fit=crop&h=300&w=300;otras salsas
salsa pesto alla genovese hacendado;tarro 200 g;1,5;https://prod-mercadona.imgix.net/images/2745956a07519539133990fddd452bf3.jpg?fit=crop&h=300&w=300;otras salsas
salsa boloñesa hacendado;tarro 300 g;0,95;https://prod-mercadona.imgix.net/images/6b20f8df1339fb9740d45a0144e1521d.jpg?fit=crop&h=300&w=300;otras salsas
salsa de tomate, albahaca y orégano hacendado;tarro 300 g;0,95;https://prod-mercadona.imgix.net/images/b1950d4c748aae48b4f2b38549ba4eef.jpg?fit=crop&h=300&w=300;otras salsas
salsa fresca queso hacendado;paquete 180 g;1,2;https://prod-mercadona.imgix.net/images/2f165ed7eeb7a261f88691ee756f94e8.jpg?fit=crop&h=300&w=300;otras salsas
salsa fresca pesto hacendado;paquete 150 g;1,2;https://prod-mercadona.imgix.net/images/aad772012241f2f740c52cf3e3deb0ea.jpg?fit=crop&h=300&w=300;otras salsas
salsa fresca setas hacendado;paquete 200 g;1,2;https://prod-mercadona.imgix.net/images/cf5b6ae833b53240ab602321211e61e4.jpg?fit=crop&h=300&w=300;otras salsas
salsa fresca carbonara hacendado;paquete 200 g;1,2;https://prod-mercadona.imgix.net/images/7585a61bd48bd98ba8e7f1f4bff17d10.jpg?fit=crop&h=300&w=300;otras salsas
salsa napolitana hacendado;tarro 300 g;0,95;https://prod-mercadona.imgix.net/images/609e2e0d767cfde1a04e974a8f784814.jpg?fit=crop&h=300&w=300;otras salsas
salsa pesto rosso hacendado;tarro 200 g;1,25;https://prod-mercadona.imgix.net/images/370e27a32d0ccd4e78fa63aa6fa79bcf.jpg?fit=crop&h=300&w=300;otras salsas
